19679.0
.	0.07891661161644392
to	0.033639920727679254
i	0.031658112708979114
the	0.030336907363179025
you	0.02058031404034758
,	0.0184460592509782
?	0.01615935769093958
and	0.01600691092027034
a	0.014584074394024087
we	0.013567762589562478
is	0.013466131409116316
in	0.011890848112200824
on	0.011789216931754663
for	0.010518827176177652
of	0.00929925301082372
have	0.00919762183037756
it	0.008994359469485238
this	0.008892728289039076
will	0.008791097108592917
be	0.008841912698815997
that	0.008689465928146756
with	0.008638650337923675
are	0.00802886325524671
can	0.006555211138777377
if	0.006555211138777377
me	0.006504395548554296
not	0.005640530514761929
get	0.005640530514761929
at	0.005538899334315768
am	0.005132374612531124
my	0.004471771939631079
need	0.004319325168961837
do	0.004116062808069516
would	0.004116062808069516
what	0.0040652472178464355
but	0.003963616037400274
think	0.003912800447177194
i'm	0.003811169266731033
there	0.0037603536765079527
call	0.0036079069058387115
so	0.0035062757253925504
as	0.0034046445449463897
know	0.0034046445449463897
up	0.00345546013516947
!	0.0033030133645002287
from	0.0033030133645002287
was	0.0033030133645002287
about	0.0031505665938309875
please	0.0031505665938309875
back	0.003099751003607907
all	0.0028456730524925047
should	0.002744041872046344
meeting	0.0026932262818232635
has	0.002642410691600183
your	0.002642410691600183
they	0.0025915951013771024
just	0.0024899639209309417
thanks	0.002439148330707861
he	0.002439148330707861
or	0.002439148330707861
going	0.002439148330707861
out	0.00228670156003862
i'll	0.00228670156003862
an	0.0022358859698155395
no	0.0022358859698155395
did	0.0022358859698155395
tomorrow	0.0022358859698155395
some	0.0021342547893693784
today	0.0020834391991462983
see	0.0020834391991462983
want	0.0021342547893693784
good	0.0020326236089232177
go	0.0020326236089232177
how	0.0020326236089232177
make	0.0019309924284770569
don't	0.0019309924284770569
our	0.001981808018700137
like	0.0018293612480308958
she	0.0017785456578078155
them	0.0017785456578078155
had	0.0017785456578078155
any	0.0018293612480308958
when	0.0018293612480308958
let	0.0016769144773616546
now	0.001626098887138574
office	0.001626098887138574
time	0.0015752832969154937
week	0.0015752832969154937
by	0.0015752832969154937
deal	0.0015752832969154937
us	0.001626098887138574
email	0.0015244677066924132
sure	0.0014736521164693329
still	0.0014736521164693329
ok	0.0015244677066924132
here	0.0014228365262462523
these	0.0014228365262462523
him	0.001372020936023172
send	0.0014228365262462523
more	0.0014228365262462523
monday	0.0013212053458000915
